osmid,y,x,street_count,highway,geometry,elevation
11222442415,26.6821922,88.4401378,1,,POINT (88.4401378 26.6821922),113.0
11222442424,26.6823255,88.4399155,1,,POINT (88.4399155 26.6823255),113.0
11222453637,26.6832335,88.443678,1,,POINT (88.443678 26.6832335),113.0
11222978238,26.6947284,88.4465468,3,,POINT (88.4465468 26.6947284),118.0
11222978239,26.695133,88.4463196,3,,POINT (88.4463196 26.695133),118.0
11238711270,26.6873287,88.4411566,1,,POINT (88.4411566 26.6873287),115.0
11238711271,26.6873059,88.4410592,1,,POINT (88.4410592 26.6873059),115.0
11238711273,26.6873262,88.4410941,3,,POINT (88.4410941 26.6873262),115.0
11238722919,26.6845572,88.4548646,1,,POINT (88.4548646 26.6845572),114.0
11238723012,26.6843195,88.4469691,3,,POINT (88.4469691 26.6843195),113.0
11238723025,26.6845215,88.4468023,1,,POINT (88.4468023 26.6845215),113.0
11238723040,26.683381,88.4439211,1,,POINT (88.4439211 26.683381),114.0
11238723051,26.6832701,88.4446178,1,,POINT (88.4446178 26.6832701),113.0
11238723058,26.6835326,88.4447519,3,,POINT (88.4447519 26.6835326),114.0
11238723086,26.6837639,88.4466987,3,,POINT (88.4466987 26.6837639),113.0
11238723105,26.6831392,88.4469276,1,,POINT (88.4469276 26.6831392),114.0
11238723125,26.683316,88.4467861,3,,POINT (88.4467861 26.683316),114.0
11238723138,26.6841946,88.4466536,4,,POINT (88.4466536 26.6841946),113.0
11238723143,26.6845902,88.4465094,1,,POINT (88.4465094 26.6845902),113.0
11472381805,26.7020811,88.4423521,3,,POINT (88.4423521 26.7020811),122.0
11472381806,26.7021453,88.4425684,3,,POINT (88.4425684 26.7021453),122.0
11472381807,26.7021226,88.4422916,3,,POINT (88.4422916 26.7021226),122.0
11472381808,26.7023003,88.4422833,3,,POINT (88.4422833 26.7023003),122.0
11472381809,26.7020546,88.4422348,3,,POINT (88.4422348 26.7020546),122.0
11472381810,26.7019911,88.4420039,3,,POINT (88.4420039 26.7019911),122.0
11472381814,26.7021517,88.4419896,3,,POINT (88.4419896 26.7021517),122.0
11472381842,26.7021792,88.4419346,1,,POINT (88.4419346 26.7021792),122.0
11473330983,26.7053235,88.4313869,1,,POINT (88.4313869 26.7053235),120.0
11473330985,26.70531,88.4314048,1,,POINT (88.4314048 26.70531),120.0
11473330988,26.7053684,88.4314431,3,,POINT (88.4314431 26.7053684),120.0
11473330991,26.7056608,88.4317006,1,,POINT (88.4317006 26.7056608),120.0
11659700273,26.7149647,88.4232139,1,,POINT (88.4232139 26.7149647),131.0
11663361974,26.6841661,88.443761,3,,POINT (88.443761 26.6841661),114.0
11667698498,26.6923433,88.4318572,1,,POINT (88.4318572 26.6923433),115.0
11667698504,26.6919464,88.4317945,1,,POINT (88.4317945 26.6919464),115.0
11667698510,26.6919605,88.4321432,1,,POINT (88.4321432 26.6919605),115.0
11687694470,26.6923481,88.4315216,1,,POINT (88.4315216 26.6923481),115.0
11687694517,26.6922891,88.4317475,1,,POINT (88.4317475 26.6922891),115.0
11687694518,26.6922917,88.4317038,1,,POINT (88.4317038 26.6922917),115.0
11702985118,26.683226,88.4467793,1,,POINT (88.4467793 26.683226),114.0
11727964060,26.6827038,88.4424274,1,,POINT (88.4424274 26.6827038),113.0
11727964061,26.6827331,88.4426853,1,,POINT (88.4426853 26.6827331),113.0
